url,status_code,CMS,category,advertise
http://www.avace.com.au/,200,WordPress,Business,False
http://www.tiptoeandco.com.au/,200,WordPress,Shopping,False
http://www.thesourcebulkfoods.com.au/,200,WordPress,Restaurant and Dining,False
http://www.2ue.com.au/,200,Not Detection,News and Media,
http://www.magnamail.com.au/,200,Magento,Shopping,
http://www.qantasnewsroom.com.au/,200,WordPress,Travel,False
http://www.quirkycooking.com.au/,200,WordPress,Restaurant and Dining,True
http://www.livefish.com.au/,200,Magento,Shopping,
http://www.baileynelson.com.au/,200,Shopify,Shopping,
http://www.sparesbox.com.au/,200,Magento,Personal Vehicles,
http://www.insidefmcg.com.au/,200,WordPress,News and Media,False
http://www.weberbbq.com.au/,200,WordPress,Business,False
http://www.latestbuy.com.au/,200,WordPress,Shopping,False
http://www.forevershining.com.au/,200,WordPress,Business,False
http://www.simplywholesale.com.au/,200,Shopify,Shopping,
http://www.manmonthly.com.au/,200,WordPress,Business,False
http://www.jobadvisor.com.au/,200,WordPress,Job Search,False
http://www.scouts.com.au/,200,WordPress,General Organizations,False
http://www.swingers.com.au/,200,WordPress,Pornography,False
http://www.onproperty.com.au/,200,WordPress,Real Estate,False
http://www.gourmetgetaways.com.au/,200,WordPress,Restaurant and Dining,False
http://www.runnersworldonline.com.au/,200,WordPress,Sports,False
http://www.wavenetwork.com.au/,200,WordPress,Education,False
http://www.myhouse.com.au/,200,Shopify,Business,
http://www.thebeachpeople.com.au/,200,Shopify,Arts and Culture,
http://www.stylearc.com.au/,200,Not Detection,Shopping,
http://www.trtlmt.com.au/,200,WordPress,Business,False
http://www.aussiesoapsupplies.com.au/,200,Magento,Shopping,
http://www.casebuddy.com.au/,200,Shopify,Information Technology,
http://www.renovatorstore.com.au/,200,Magento,Business,
http://www.web123.com.au/,200,WordPress,Business,False
http://www.localspot.com.au/,200,WordPress,Business,False
http://www.citroen.com.au/,200,WordPress,Personal Vehicles,False
http://www.crowaway.com.au/,200,WordPress,Reference,False
http://www.mrtperformance.com.au/,200,Magento,Sports,
http://www.bannerbuzz.com.au/,200,Magento,Shopping,
http://www.fatzebra.com.au/,200,Squarespace,Finance and Banking,
http://www.oneteaspoon.com.au/,200,Magento,Entertainment,
http://www.theshout.com.au/,200,WordPress,Business,False
http://www.aussiecommerce.com.au/,200,Not Detection,Information Technology,
http://www.thornbroadband.com.au/,200,Not Detection,Information Technology,
http://www.shonajoy.com.au/,200,Shopify,Shopping,
http://www.shearersonline.com.au/,200,WordPress,Business,False
http://www.mocka.com.au/,200,Magento,Business,
http://www.edisons.com.au/,200,Magento,Business,
http://www.totallyworkwear.com.au/,200,Magento,Business,
http://www.addictedtoaudio.com.au/,200,Shopify,Shopping,
http://www.gasweld.com.au/,200,Magento,Business,
http://www.harveynormanphotos.com.au/,200,Shopify,Entertainment,
http://www.seopoint.com.au/,200,WordPress,Information Technology,False
http://www.radiallife.com.au/,200,Shopify,Shopping,
http://www.mychameleon.com.au/,200,Magento,Shopping,
http://www.cyclesgalleria.com.au/,200,Shopify,Personal Vehicles,
http://www.inkable.com.au/,200,WordPress,Not Detection,False
http://www.isabellaspassion.com.au/,200,Magento,Lingerie and Swimsuit,
http://www.communitynews.com.au/,200,WordPress,News and Media,True
http://www.purplesneakers.com.au/,200,WordPress,Entertainment,False
http://www.canberraairport.com.au/,200,WordPress,Travel,False
http://www.outdoorlivingdirect.com.au/,200,Magento,Business,
http://www.migrationtranslators.com.au/,200,WordPress,Business,False
http://www.krispykreme.com.au/,200,Magento,Restaurant and Dining,
http://www.aristocrat.com.au/,200,Not Detection,Business,
http://www.bulletproof.net.au/,200,WordPress,Business,False
http://www.allbuzzdomesticservices.com.au/,200,WordPress,Business,False
http://www.insiderguides.com.au/,200,WordPress,Education,True
http://www.doorsteporganics.com.au/,200,OpenCart,Restaurant and Dining,
http://www.superiorpeople.com.au/,200,WordPress,Job Search,False
http://www.autoexpert.com.au/,200,Squarespace,Personal Vehicles,
http://www.bikenuttransport.com.au/,200,WordPress,Personal Vehicles,False
http://www.afterpay.com.au/,200,Not Detection,Business,
http://www.syncmarketing.com.au/,200,Squarespace,Business,
http://www.aussiedisposals.com.au/,200,Magento,Business,
http://www.evans.com.au/,200,WordPress,Business,False
http://www.westernpergolasndecking.com.au/,200,WordPress,Business,False
http://www.indiaathome.com.au/,200,Magento,Restaurant and Dining,
http://www.mutualtrust.com.au/,200,WordPress,Finance and Banking,False
http://www.radio-rentals.com.au/,200,Magento,Business,
http://www.aopi.com.au/,200,WordPress,Education,False
http://www.sellbuyswap.com.au/,200,WordPress,Shopping,True
http://www.dolmanbateman.com.au/,200,WordPress,Business,False
http://www.pergolarific.com.au/,200,WordPress,Business,False
